,sha256,pkgName,classID,googlePlayDescription
0,24D3490CF23842A791CBB5B10F1427808F4B163F9C492791709BD4FACC1E2091,com.rytong.airchina,Airlines,"Air China is China’s only national flag carrier which offers not only commercial flights  for the traveling public, but also special flights for Chinese top leaders on their official visit to foreign countries. It is also a Star Alliance member carrier. It boasts 298 routes, serving 154 cities in 31 countries and regions. Let’s take you onto a pleasant journey.  Travel Advisor, Promotion Products, Check-in, Fight Status, PhoenixMiles, Self-Service Rebooking – everything is intended to make things pleasant and easier for you. Chinese and English versions are also available.   Itinerary Management – You are in total control of your travel. Wherever you buy your Air China ticket, you can always view your itinerary. We also provide constant helpful tips on our services.  Ticket Reservation – You have myriad flights to choose from. Every week, we offer 7,000 flights and over 1.3 million seats. Voice recognition is in place to make it easy for you to purchase ticket. The payment process is safe and efficient.  Members Services –We provide good services for our distinguished PhoenixMiles members. You can view your Mileage account, program activities, add or delete redemption nominees or take photographs for Mileage retro-crediting.  Mileage Redemption –Make the most use of the mileage you have collected. Your bits-and-pieces Mileage can be very useful too – you can use it to request both award ticket and items from our PhoenixMiles e-shop. So your Mileage will never be invalidated.  Check-in – You will be spared the trouble of having to queue for check-in. You can select your preferred seat in advance and are spared the trouble of having to stand in the line for check-in at the airport, because you can check in with the two-dimensional code. A truly unique experience is guaranteed.  Flight Status – You can know where your aircraft is. Keep yourself up to speed on the flight status – you will know the exact flight departure and arrival times. Voice recognition is also available.  Advance Seat Selection – You can select your preferred seat in advance. Select the seat that best suits your needs.  Download now. Experience what we have and offer."
1,2D3D869A1DF82ACDCABBB08277ADECB8E5B64DB4DB516C7C1C6E91F32E141C03,com.rytong.hnair,Airlines,"Hainan Airlines Company Profile  Hainan Airlines Holding Co., Ltd. (hereafter referred to as ""Hainan Airlines"") was established in January, 1993 in Hainan Province, China's largest special economic zone and free trade port. Hainan Airlines is committed to providing passengers with comprehensive and seamless airline services and creating a safe and comfortable travel experience.  As of 2023, Hainan Airlines and its subsidiaries operated nearly 1,800 domestic and international routes, including nearly 1,600 domestic routes, covering all provinces, autonomous regions and municipalities directly under the central government in the Chinese mainland, as well as 100 international and regional routes to 37 overseas cities, including scheduled passenger flights, passenger charter flights, and passenger-to-cargo flights, covering Asia, Europe, Africa, North America and Oceania regions. Hainan Airlines has also actively responded to The Belt and Road Initiative by focusing on building a world-class airline network. Hainan Airlines and its subsidiaries have established operational bases and branches in 24 cities including Haikou,Beijing,Guangzhou and Shenzhen.  From 1993 until now, Hainan Airlines has been operating safely for 31 years and maintains an excellent operational record. In February 2024, Hainan Airlines was awarded the “One Star Flight Safety Diamond Award” by the Civil Aviation Administration of China for achieving 10 million consecutive hours of safe flight which is a great achievement.  Hainan Airlines is the first and only SKYTRAX 5-Star airline in the Chinese Mainland, who has been awarded the SKYTRAX 5-Star Airline for 13 consecutive years since 2011. This honor is Hainan Airlines highest level of recognition for our outstanding service, and also represents praise from the passengers for our high quality services.  Fly Your Dreams—Hainan Airlines."
3,238396FF004CF5505CC1FB783C2671D6E89867235D2846DA8494CC2038FC16E1,com.fsecure.eicar.antivirus.test,Antivirus,"TEST SAFELY THAT YOUR ANTIVIRUS APP WORKS. NOTE: THIS IS NOT AN ANTIVIRUS APP.  This app is designed to safely test that your antivirus product detects viruses and other harmful applications. It is based on the security industry standard test file recommended by European Institute for Computer Anti-Virus Research (EICAR) for testing antivirus software. The app is completely harmless.  When you download this app, your virus protection software should detect it as infected and recommend you to uninstall it. The app also works with any PC security software, but please note that your PC antivirus may automatically remove or quarantine it.  LOOKING FOR TRUSTED VIRUS PROTECTION FOR YOUR ANDROID DEVICE?  F-Secure Freedome VPN is an online privacy and security app that combines the most powerful features of our award-winning security. Anti-malware. Anti-Phishing. Anti-Spying. Anti-Tracking. VPN. It’s always up-to-date via the cloud. Try App security in F-Secure Freedome VPN and test how it catches viruses. App security is free to all users.  WHO ARE F-SECURE?  F-Secure is an online security and privacy company from Finland. We offer millions of people around the globe the power to surf invisibly and store and share stuff, safe from online threats. We are here to fight for digital freedom. Join the movement and switch on freedom. Founded in 1988, F-Secure is listed on NASDAQ OMX Helsinki Ltd."
33,9937BC3FADCD8A177D78CD14217C6B81F7AAE6875577510A116BCAF5EDE88E62,com.kbzbank.kpaycustomer,Banking,"KBZPay is a mobile wallet powered by KBZ Bank. It's the safer, simpler and more convenient way to transact money in Myanmar. With just a few taps on your phone, whether you wish to pay,transfer, cash in or out. With KBZPay App, you can: Quickly and easily make payment in Merchant stores by scanning QR code or accepting the payment request. Set you free from carrying cash all the time. Top up your phone in Myanmar anytime, anywhere. Send money to your family and friends using KBZPay in seconds. Book Hotels & Tickets for Bus, Flights. Pay your bills with ease from anywhere. Available 24/7 so you never have to wait in line ever again. Safe and Secure，Lock your KBZPay with Pattern management for an additional set of security."
36,7B18A91FEBBCAF7AE470DAA12942C54E1DFB62B010FAB2EA6079FA6274BB9754,com.banofinancial.app,Banking,"Bano - Most Innovative FinTech 2021 (Australia)  Spend, request, save and invest through an all-in-one SuperApp. Connect your life with Bano.  Bano (ABN 93 643 260 431) is a company registered in Australia, licensed by the Australian Securities and Investments Commission (AFSL No. 536984) and registered with Australian Transaction Analysis and Reporting Centre (AUSTRAC) & Australian Financial Complaints Authority (AFCA).     Get Cash Back on Every Card Transaction  Receive up to 1.8% cash back when you use your Bano card to pay online/in-store. The more you spend, the more cash back you will receive.     Customise your own Bano VISA Card in-app  With our new customisation feature, personalise your very own physical Bano VISA Card so that you can spend in style.     Split Bills or Collect Payments from Friends, Families, Housemates etc.  Simply enter the phone number or Bano ID of the person you want to collect a payment from and Bano will take care of the rest. Payments can be made through the Bano App or using Apple Pay if the user does not have the app. This means your friends can pay you even if they aren’t a Bano customer.     Easy Payments for Bills and Services (BPAY®)  Paying rent, electricity bills, or university tuition has never been easier. With BPAY® support, Bano provides fast and convenient payment services using various currencies.     Manage Your Account  One simple view of your account balance, transactions history, and investment activities.     Send and Receive Money to & from Australia or Overseas  Easily send and receive money with anyone in or outside of Australia. Bano’s global network connects you to bank accounts in over 180 countries.     Access Multi-Currency Accounts & Remittance  Bano supports multi-currency accounts that let you convert FX, send and receive money in 30+ currencies. Competitive FX rates and enjoy the free handling fee.     Invest Your Money  Easy access to the US Stock Trading Market where you can buy/sell/trade US Stocks at a zero brokerage fee.     Hands-On Customer Support  Reach our customer support team through our socials, email, or the in-app customer service chat (you can find it by clicking the “Profile” button in the top left corner)."
37,64496708732F284AC90A9E077F785528FE38556D3BB5A726985115745750DCF1,com.kbzbank.kpaypartner,Banking,KBZ Bank brings you the KBZPay Partner App - enabling you to assist your customers with their transaction and cash/payment needs and to help you manage your Merchant or Agent Account.
39,0407FCE51DA6BA98938668F64C61FFE44EDFFF59523F022B8B3BB72F9D6CAB52,com.kbzbank.kpaycustomer,Banking,"KBZPay is a mobile wallet powered by KBZ Bank. It's the safer, simpler and more convenient way to transact money in Myanmar. With just a few taps on your phone, whether you wish to pay,transfer, cash in or out. With KBZPay App, you can: Quickly and easily make payment in Merchant stores by scanning QR code or accepting the payment request. Set you free from carrying cash all the time. Top up your phone in Myanmar anytime, anywhere. Send money to your family and friends using KBZPay in seconds. Book Hotels & Tickets for Bus, Flights. Pay your bills with ease from anywhere. Available 24/7 so you never have to wait in line ever again. Safe and Secure，Lock your KBZPay with Pattern management for an additional set of security."
41,8B1D63DAFCA97212A12C4CA26070504CB1F0A443D268CBCFBDBD5D84AF7C5984,com.kbzbank.kpaycustomer,Banking,"KBZPay is a mobile wallet powered by KBZ Bank. It's the safer, simpler and more convenient way to transact money in Myanmar. With just a few taps on your phone, whether you wish to pay,transfer, cash in or out. With KBZPay App, you can: Quickly and easily make payment in Merchant stores by scanning QR code or accepting the payment request. Set you free from carrying cash all the time. Top up your phone in Myanmar anytime, anywhere. Send money to your family and friends using KBZPay in seconds. Book Hotels & Tickets for Bus, Flights. Pay your bills with ease from anywhere. Available 24/7 so you never have to wait in line ever again. Safe and Secure，Lock your KBZPay with Pattern management for an additional set of security."
42,87984DB0ACAFB6B12D12AC29B5864E56F7869E16DDDE3C30984F6004E6035764,com.kbzbank.kpaypartner,Banking,KBZ Bank brings you the KBZPay Partner App - enabling you to assist your customers with their transaction and cash/payment needs and to help you manage your Merchant or Agent Account.
44,40AEC26BF7125ABB0EEF068EC01915913F77FED2B5881D5106144EEA877FF484,com.bnu.mba,Banking,"BNU App - Get everything in one touch! Perform Banking Transactions, add extra Authentication Methods to your BOL transactions, access to both BNU Life and Institutional Website and much more! Everything at one place only. Download it now and get superior convenience. - - -  If you are a BNU Online Banking (BOL) customer, you may login the App using the same username and password as BOL. If you have not registered our BOL service yet, please visit any of our branches for registration – it’s quick and will provide you with extra convenience on managing your banking transaction. - - -  BNU App comes packed with: • FRESH LOOK: Following the latest app design trends, this app will certainly provide a great user experience upon browsing through all its features. • FAST & EASY: fast and easily understandable options and features to keep up with your life’s pace. • BIOMETRIC LOGIN: Quickly and safely log into the App using the latest biometric authentication methods, such as Fingerprint and Facial Recognition.* • THE BANKING TRANSACTIONS YOU NEED: All BOL transactions are available at your fingerprints, namely Account Enquiry, Transfers, Credit Card and several Bill Payments, Insurance,  etc. • AUTHENTICATION VIA TOKEN: A new easy and reliable authentication method to approve transactions made via BOL. • QUICK LOOK: Access the following pages and features without the need of a login: Token, Exchange Rate, Interest Rate, Loans Calculator, All Websites and Help Page. • LATEST NEWS: In-app notifications regarding BNU’s latest promotions and news. • ALL WEBSITES: From homepage you may access BNU Institutional Website as well as BNU Life Website and no login is required. * Facial Recognition only available for iPhone X."
