sha256,pkgName,googlePlayDescription
093EBD1938A3FD17C91FBB34AED59E53F927EDBCE3686513D8ABA966C9898D8B,com.zoner.android.security,"This app works on both mobile devices and tablets. You can switch the layout in settings.  Features available only in Zoner Mobile Security: * Ads detection  Other features: * Installed app protection * On-access and on-demand scan * Permission viewer * Automatic and manual database updates * Home screen widget * Secure messages  Zoner Mobile Security is a modern security and anti-virus solution for your device. It provides protection against viruses, dialers, trojans, worms, spyware, adware and other malware as well as phone call and message protection.   You can test the antivirus using applications containing the EICAR test file, like Zoner AntiVirus Test.  Ads detection provides you with notifications about installed apps that include ads.  App protection checks all newly installed applications for malware. You can scan any old installed applications from the menu.  On-access protection scans any downloaded files and optionally the whole SD Card when plugged in.  Secure messages are encrypted messages that you can send via SMS, email, facebook, twitter, etc. Zoner AntiVirus uses strong encryption to send selected messages in unreadable form. The recipient can read those messages only when he has the right key (password)."
4156C9E0A3F5469E0A4B2BC39D6D58EEAD89B8C5AC951A0383A4B2C26B8486D3,com.crescentmoongames.monkeyboxing,"Enter the Monkey Boxing League with Monkey Boxing!   Step inside the ring, do powerful K.O.s and combos, customize your monkey, and compete for HUGE Trophies!    FEATURES:   High quality 3d Graphics: Fully animated 3D characters with dynamic accurate lighting.   Funny to Play: Ludicrous characters and fast paced, crazy gameplay.   Customization: Create your own Monkey Boxer choosing colors and wearable props up to more than 269 BILLIONS of combinations.   Unlockable Items: Win new wearable props beating loudicrous “famous” monkey boxers.   Addictive Gameplay: Challenge yourself and others to get the best score on infinite game levels.   Training: Train your monkey to get best boxing performances.   Lots of Levels: Win the WMB Cup playing the first 50 levels and then continue fighting for an unlimited number of matches.   2 Players Option: Challenge a friend on the same device or via Wi-fi.  Great monkey sound effects and funny gameplay!   Tablets supported.  4 Languages support: English, Spanish, French, Italian  Follow us for the latest info and game news!  • http://crescentmoongames.com/other-games/ • https://facebook.com/crescentmoongames • https://twitter.com/cm_games"
701B6E746DFB5521C8FD70662945A1AA92980F371662C3BD7C645313C7B03428,com.roamingsoft.manager,"WiFi Connection Manager is a Wi-Fi scanner, manager and connector on android.  Help us with the translation project on http://crowdin.net/project/wifi-connection-manager  1. Support AP (Access Points) SSID with special characters, such as Chinese, Japanese, Korean, Greeks, Russian, Arabic, Portuguese, UNICODE and so on.  2. Fix device Wi-Fi problems.  3. Instant connect. Once searched, once start connecting. Way faster than the system build-in Wi-Fi scanner.  4. Static IP settings support. Auto switch between different AP.  5. Switch between available networks, solving the network conflict problem.  6. Add/Connect to certain hidden SSID network (depends on device and network conditions).  7. Manual add network, with special support for EAP/LEAP encrypted network.  8. Detailed network information, network bandwidth, channel and network type.  9. Auto detect Web Authentication.  10. Backup/Restore saved networks.  11. Add/Share Wi-Fi network with QR code.  12. Arrange network connecting priority.  13. WPS (Wi-Fi Protected Setup) support for Android 4.0 or above devices.  14. Automatical switch between saved networks when signal is not ideal.  15. Wi-Fi tether (Wi-Fi Hotspot) support.  About the required permissions:   Camera is for adding Wi-Fi network via QR code.   Phone and Internet is for the AdMob plug-in made by Google.   Storage is for backup and restore saved network."
9739C87F05E3AAE3B1B600F4CC4B01DBBCE16B92AAC414314E0F7314ADC59E63,com.zeptolab.ctrexperiments.google.paid,"Experiment to feed Om Nom candy! Cut the rope like never before. Everything you love and new gameplay! 200 levels and more to come!  Eager to learn more about Om Nom's adventures? Watch ""Om Nom Stories"" cartoons and other amazing videos on our YouTube channel! www.zep.tl/youtube  The little green monster Om Nom is back and hungrier than ever! Team up with the Professor, a mad (but not bad!) scientist determined to study Om Nom’s candy-loving behavior through a series of experiments. Use suction cups and other funny devices to collect shiny gold stars, uncover hidden prizes and unlock new levels.  Key features:   - 8 level packs with 200 levels  - Innovative physics gameplay - Adorable character - Outstanding graphics - Om Nom animation shorts - Superpowers - Constant free updates with new levels and animations  About the game:   “Cut the Rope: Experiments from ZeptoLab follows the exact same formula as its predecessor, which means it's awesome.” - IGN   “If Cut the Rope: Experiments uncovers one scientific truth, it’s this: ZeptoLab knows how to put together a charming puzzle game.” - Tapscape   “Cut the Rope: Experiments takes the original's addictive formula and adds a splash of deviousness, thanks to the addition of some cunning new items.” - Pocket Gamer"
13100B7D640C539372B744C80C117600182D7F40109B349EBB409A4C6CAABC97,org.cohortor.gstrings,"gStrings is a chromatic tuner application measuring sound pitch and intensity. This is the ad supported version.  It will let you tune any musical instrument (violin, viola, violoncello, bass, guitar, piano, wind instruments, your own voice/singing).  Features include: 1. multiple built-in instruments and tunings, 2. support for user-defined custom tunings, 3. a long list of built-in temperaments (just, pythagorean, meantone, comma, etc.), 4. support for user-defined custom temperaments, 5. orchestra tuning (shifting/redefining tone frequencies), 6. pitch pipe, and many more.  If you were looking for a guitar tuner, try it!  (*) the INTERNET permission is used for ads only.  (**) most of the historic temperaments were included courtesy of NetCat AG."
D08A5D1398515F4B9BB13AF1826333D94D213B4D164AB0C2BEEC554FFA0532BF,com.rebelnow.fingerboardpro,"Android's first skateboard game! Skate, touch, grind, ollie, kickflip, heelflip, varial flip, & dodge objects in this classic 2D skateboarding game!   Fingerboard Pro features: - Ad Free Gameplay - Freeskate Mode (no timer) - Skateboard Shop - Unlock achievements  Fingerboard Pro Instructions: You are the skater! Place both fingers on the skate board to begin skateboarding. Bust tricks as you slide your finger away from the skateboard deck. Dodge objects, grind rails, bust a crazy board slide, and speed skate your way through to get a high score!  *** Please email support@rebelnow.com if you have any questions, comments, or concerns. This app supports single touch users but you will be limited with how many finger board tricks you can perform!"
576B16C3B8739C2DA1C5627CE6DD820109B8B39CC2829C0E8E1DCA2A8A095533,com.herocraft.game.montezuma2,"A sequel to the popular PC game “Treasures of Montezuma” will please fans of puzzles and the match-3 genre.  Over 100 levels of ancient Aztec secrets and riddles, plenty of magical artifacts and three game modes – that's what awaits for the players.  Playing “Treasures of Montezuma 2” you'll have to combine pieces of the same color and complete missions within the given time. Success will be rewarded with bonus scores and gold which you may spend to purchase various bonuses and upgrades.   Upon the discovery of Aztec magic and gathering all the precious jewels the player will rebuild the Heavenly City Tenochtitlan.  •  Over 100 levels •  3 game modes •  Magical bonuses and totems •  Mysterious atmosphere of Aztec civilization   ***** The QualityIndex of ""Treasures of Montezuma 2"" is 7.7 http://android.qualityindex.com/games/20840/treasures-of-montezuma-2  _____________________________________  FOLLOW US: @Herocraft  WATCH US: youtube.com/herocraft  LIKE US: facebook.com/herocraft.games"
A3F06F9C34FABABBC8B83AF365C42C1366FC7971585A20561AFD41937447F533,com.anifree.anipet.koi.ad,"aniPet Koi Live Wallpaper simulates koi swimming in a pond with lily pads.   * 30 koi types * Up to 15 koi in the pond * Able to feed koi and koi grows * Matured koi may have babies * Random dragonfly and butterfly animation * Background change * Many options available, such as koi moving speed, growth speed, food type, lily pad moving speed, water color and transparency, etc.  To use: HOME/MENU/Wallpaper/Live Wallpapers/aniPet Koi (free)  Works only for live wallpaper supported phones.  This limited free version only has 2 koi and without settings, but provides 2-day trial of the full features."
74EFF0CA4E15B3DA193C57ADFCC1AFD26F1E64EE4ACACBFBE2FC96FFBE9278F8,kr.aboy.tools,"Smart Tools® is the complete package of 6 individual apps. It has 6 sets below for a total of 15 tools. In a word, All-in-One.  ★★★ The second packaged version (""Smart Tools 2"") was newly released. This app (""Smart Tools"") will continue to be updated, but we strongly recommend that new users purchase the new version. ★★★  Set 1. Smart Ruler Pro : length, angle, slope, level, thread  Set 2. Smart Measure Pro : distance, height, width, area  Set 3. Smart Compass Pro : compass, metal detector, GPS  Set 4. Sound Meter Pro : sound meter, vibrometer  Set 5. Smart Light Pro : flashlight, magnifier, mirror  Set 6. Unit Converter : unit   For more information, watch YouTube video and visit the blog.  I hope my apps are useful to your SMART Life. Thank you.  * It is a one-time payment. The app price is charged only once.  ** This app is not compatible with the devices without a compass sensor (e.g Moto G4, Galaxy J, Galaxy TabA ...).  ** Off-line support: You can open this app without any connection. After installation, open the app 1-2 times with your device connect to Wi-Fi or 3G/4G.  ** This app does not include Map and Exchange rates due to the lack of internet access."
EB1F67B862B4897FF4FB861DB9F07EE4AF12458C3EA395DE52688DB759571EA9,com.googlecode.andoku,"Sudoku 2Go with 10'000 puzzles, 10 different variants, 5 levels of difficulty and a world-class hint engine. All the Sudoku you'll ever need!  In addition to the standard Sudoku puzzles it offers these Sudoku variants:  - X-Sudoku - Hyper-Sudoku - Percent-Sudoku - Color-Sudoku - Squiggly Sudoku (a.k.a. Jigsaw Sudoku) and combinations thereof (e.g. Sudoku-X with jigsaw regions)   Features:  - 10 different game variations - 5 levels of difficulty per game variation - 200 puzzles per game variation and difficulty level - Puzzle timer - Auto-save - Statistics - Cell highlighting - Undo/redo  Permissions:  - Storage: this permission is used to store/retrieve the Sudoku puzzles in play - Network Communication: this permission is used by ad networks to retrieve ads - Billing: this permission is needed to offer the possibility for to remove ads using an in-app purchase  Hint Engine:  - Full House - Hidden Single - Hidden Subset (Pair, Triple + Quad) - Naked Single - Naked Subset (Pair, Triple + Quad) - Locked Candidates (Pointing + Claiming) - X-Wing (Regular, Finned + Sashimi)  - Swordfish (Regular, Finned + Sashimi)  - Jellyfish (Regular, Finned + Sashimi)  - XY-, XYZ-, WXYZ-, VWXYZ-, UVWXYZ-, TUVWXYZ-, STUVWXYZ-, RSTUVWXYZ-Wing - W-Wing - Almost Locked Candidates (Pair, Triple + Quad) - Avoidable Rectangle (type 1 + 2) - Hidden Unique Rectangle - Uniqueness Test (type 1, 2, 3, 4 + 5) - BUG+1, BUG+2, BUG+3 and BUG+4 - Aligned Pair + Triple Exclusion - Sue de Coq - ALS-XZ, ALS-XY-Wing - Remote Pairs - Bidirectional Cycles - Forcing X-Chains - Forcing XY-Chains - Nishio Forcing Chains - Double Forcing Chains - Contradiction Forcing Chains - Region Forcing Chains - Cell Forcing Chains"
E2BF867A6F05D4AC7AF7DDD32476B9C8340B4D86C1F8A1D2543C7BEBDA969E30,com.TeaM.Avatar,"You are welcome to experience AVATAR 2, the legendary and sought-after mobile farming game in Vietnam.   As well as growing plants and vegetables, you are also able to sell  home grown produce to your neighbors and friends. This game provides you with a special haven where your plants are evergreen and adorable domestic animals are raised.   Joining with us to make more great friends, upgrade your character with contemporary and ethereal clothing items.   Download game today to have a whale of a time with your buddies.   AVATAR 2 FEATURES:  - Grow plants and freely adjust or innovate your farmstead.  - Sell plants and fresh produce to neighbors and friends via your own supermarket  - Socialize and add more friends from all over the country - Take part in amusing activities like fishing, solving mazes and memory mini-games - Complete missions to obtain premier gifts for your character  For Customer Service Help: Email: help.avatarhd.team@gmail.com FB page: www.facebook.com/avt.teamobi"
31FBF00E137746B7B41F796BDE58E239341112018C06FC840860CEDAC55B2E14,com.anysoftkeyboard.languagepack.french,"French Language pack  Features:  French dictionary based on AOSP - https://android.googlesource.com/platform/packages/inputmethods/LatinIME/+/master/dictionaries/  Include three keyboard layouts, AZERTY, QWERTY and BÉPO, with many symbols and rapid acces to apostrophe and hyphen.  This is an expansion language pack for AnySoftKeyboard. Install AnySoftKeyboard first, and then select the French keyboard from AnySoftKeyboard's Settings -> Languages -> Keyboards menu."
4DC850057A7227E5A7F786E4872F5EC938490B18EB02B974BBB40E72FC6AC7D4,com.exact,"Real-time insight into your financial figures or accounts receivables anytime, anywhere? Quickly scan an invoice or receipt and add it to your accounting? Easily keep track of time spent on projects, view your payroll slip, or request personal time-off? With the Exact Online App you have real-time access to the most important financial figures from your accounting. The tools embedded in the app help you to work smarter.    With the app you:  * Get a clear insight into your most important financial figures – from revenues to bank balances  * Manage your customers and customer contacts   * View days sales outstanding (DSO) figures and invoice history   * Can easily add expenses, receipts, or invoices to your accounting   * Approve or reject purchase invoices with a swipe  * Track projects and easily register your time spent on projects   * Create and send simple invoices  * Keep track of your leave balance and request leave  * Can view your payroll slips (NL)    Please note that an Exact Online subscription is required to use this app. The possibilities of the app vary and depend on your Exact Online subscription in combination with your user profile. Please visit our website for more information www.exact.com."
